    1800      359.8000  0.10000E+01  0.35113E-26  0.48344E-24  0.12345E-23  0.45781E-12  0.18420E-17  0.49778E-06  0.30473E-23  0.29698E-24  0.27854E-05  0.57069E-27  0.15771E-23  0.15895E-22  0.11312E-11  0.13979E-11  0.35795E-23  0.22612E-24  0.47022E-06  0.43263E-06  0.59011E-23  0.71441E-24
    1850      369.8000  0.10000E+01  0.38666E-26  0.64624E-24  0.16558E-23  0.74304E-12  0.29968E-17  0.34419E-06  0.28803E-23  0.27241E-24  0.30644E-05  0.88040E-27  0.16213E-23  0.16339E-22  0.13170E-11  0.16275E-11  0.37174E-23  0.23415E-24  0.44569E-06  0.45888E-06  0.66100E-23  0.79855E-24
    1900      379.8000  0.10000E+01  0.49581E-26  0.52822E-24  0.13565E-23  0.90357E-12  0.37069E-17  0.42209E-06  0.31781E-23  0.29643E-24  0.30497E-05  0.10179E-26  0.16097E-23  0.16216E-22  0.13308E-11  0.16445E-11  0.45336E-23  0.28667E-24  0.39046E-06  0.49568E-06  0.71191E-23  0.85683E-24
    1950      389.8000  0.10000E+01  0.63188E-26  0.36418E-24  0.93589E-24  0.90887E-12  0.37744E-17  0.53633E-06  0.33732E-23  0.31415E-24  0.30309E-05  0.89547E-27  0.15846E-23  0.15954E-22  0.12251E-11  0.15140E-11  0.63186E-23  0.40176E-24  0.33547E-06  0.52929E-06  0.65707E-23  0.78678E-24
    2000      399.8000  0.10000E+01  0.70604E-26  0.26964E-24  0.69244E-24  0.89009E-12  0.37226E-17  0.59611E-06  0.32080E-23  0.30010E-24  0.30922E-05  0.67777E-27  0.14824E-23  0.14912E-22  0.10480E-11  0.12951E-11  0.85120E-23  0.54334E-24  0.35449E-06  0.50518E-06  0.49052E-23  0.58560E-24
    2050      409.8000  0.10000E+01  0.70129E-26  0.22080E-24  0.56739E-24  0.90735E-12  0.38005E-17  0.60046E-06  0.29162E-23  0.27544E-24  0.31219E-05  0.72322E-27  0.12169E-23  0.12228E-22  0.91384E-12  0.11293E-11  0.84340E-23  0.53921E-24  0.47610E-06  0.38489E-06  0.44103E-23  0.53188E-24
    2100      419.8000  0.10000E+01  0.69999E-26  0.20951E-24  0.54123E-24  0.96913E-12  0.40346E-17  0.55335E-06  0.28598E-23  0.27595E-24  0.28481E-05  0.13330E-26  0.90363E-24  0.90736E-23  0.10332E-11  0.12767E-11  0.50806E-23  0.32375E-24  0.50805E-06  0.31338E-06  0.60005E-23  0.72522E-24
    2150      429.8000  0.10000E+01  0.77559E-26  0.26211E-24  0.68145E-24  0.10925E-11  0.44918E-17  0.45021E-06  0.28363E-23  0.28525E-24  0.21161E-05  0.24579E-26  0.97282E-24  0.97753E-23  0.13547E-11  0.16740E-11  0.45674E-23  0.28952E-24  0.35673E-06  0.47033E-06  0.54023E-23  0.64653E-24
    2200      439.8000  0.10000E+01  0.89776E-26  0.35796E-24  0.92971E-24  0.11916E-11  0.48515E-17  0.35077E-06  0.30107E-23  0.30653E-24  0.14926E-05  0.35925E-26  0.14057E-23  0.14156E-22  0.12598E-11  0.15569E-11  0.83434E-23  0.53381E-24  0.42347E-06  0.53478E-06  0.48321E-23  0.58288E-24
    2250      449.8000  0.10000E+01  0.99612E-26  0.45708E-24  0.11817E-23  0.91368E-12  0.36889E-17  0.39558E-06  0.39669E-23  0.37846E-24  0.20282E-05  0.40608E-26  0.12648E-23  0.12771E-22  0.78847E-12  0.97437E-12  0.57329E-23  0.36764E-24  0.51008E-06  0.33287E-06  0.61016E-23  0.73565E-24
    2300      459.8000  0.10000E+01  0.10935E-25  0.57133E-24  0.14721E-23  0.35102E-12  0.13999E-17  0.63049E-06  0.38086E-23  0.35169E-24  0.30726E-05  0.36223E-26  0.84626E-24  0.85066E-23  0.11654E-11  0.14400E-11  0.48724E-23  0.30788E-24  0.32424E-06  0.45110E-06  0.43156E-23  0.51639E-24
    2350      469.8000  0.10000E+01  0.12880E-25  0.72058E-24  0.18453E-23  0.56789E-12  0.24360E-17  0.80454E-06  0.25569E-23  0.25697E-24  0.23876E-05  0.27096E-26  0.13624E-23  0.13696E-22  0.13857E-11  0.17124E-11  0.80582E-23  0.51809E-24  0.51485E-06  0.40491E-06  0.64806E-23  0.78237E-24
    2400      479.8000  0.10000E+01  0.15741E-25  0.54888E-24  0.14068E-23  0.12499E-11  0.52757E-17  0.58940E-06  0.37387E-23  0.37045E-24  0.15562E-05  0.20516E-26  0.11638E-23  0.11763E-22  0.71251E-12  0.88047E-12  0.42083E-23  0.26871E-24  0.35709E-06  0.37474E-06  0.42889E-23  0.51597E-24
    2450      489.8000  0.10000E+01  0.17690E-25  0.18328E-24  0.47469E-24  0.80349E-12  0.32175E-17  0.34458E-06  0.38801E-23  0.35899E-24  0.28706E-05  0.24146E-26  0.96188E-24  0.96289E-23  0.14778E-11  0.18261E-11  0.82897E-23  0.52787E-24  0.51576E-06  0.51041E-06  0.64382E-23  0.77320E-24
    2500      499.8000  0.10000E+01  0.17271E-25  0.50766E-24  0.13072E-23  0.46678E-12  0.19257E-17  0.66268E-06  0.24106E-23  0.24387E-24  0.22762E-05  0.37699E-26  0.15172E-23  0.15271E-22  0.97287E-12  0.12023E-11  0.38263E-23  0.24395E-24  0.33487E-06  0.33343E-06  0.43200E-23  0.52176E-24
    2550      509.8000  0.10000E+01  0.15991E-25  0.69809E-24  0.18017E-23  0.88010E-12  0.37481E-17  0.73229E-06  0.43562E-23  0.42121E-24  0.18408E-05  0.52414E-26  0.75418E-24  0.76092E-23  0.10904E-11  0.13474E-11  0.85951E-23  0.55250E-24  0.52768E-06  0.46831E-06  0.58715E-23  0.70324E-24
    2600      519.8000  0.10000E+01  0.17189E-25  0.35217E-24  0.89798E-24  0.79828E-12  0.32182E-17  0.34651E-06  0.29741E-23  0.27804E-24  0.29588E-05  0.59498E-26  0.15812E-23  0.15869E-22  0.12788E-11  0.15803E-11  0.39593E-23  0.24952E-24  0.34039E-06  0.39461E-06  0.56017E-23  0.67825E-24
    2650      529.8000  0.10000E+01  0.21904E-25  0.35212E-24  0.91607E-24  0.58987E-12  0.24242E-17  0.70692E-06  0.33813E-23  0.33880E-24  0.15730E-05  0.53536E-26  0.77167E-24  0.77809E-23  0.93221E-12  0.11519E-11  0.77842E-23  0.50223E-24  0.49632E-06  0.41218E-06  0.43426E-23  0.51890E-24
    2700      539.8000  0.10000E+01  0.27024E-25  0.67551E-24  0.17298E-23  0.79786E-12  0.33666E-17  0.59294E-06  0.41520E-23  0.38258E-24  0.29752E-05  0.43652E-26  0.15550E-23  0.15634E-22  0.12145E-11  0.15009E-11  0.53797E-23  0.33913E-24  0.41844E-06  0.46336E-06  0.66406E-23  0.79846E-24
    2750      549.8000  0.10000E+01  0.28411E-25  0.31282E-24  0.80868E-24  0.82142E-12  0.32616E-17  0.43736E-06  0.28478E-23  0.28808E-24  0.16290E-05  0.42321E-26  0.76107E-24  0.76572E-23  0.10739E-11  0.13270E-11  0.53988E-23  0.34833E-24  0.37616E-06  0.34254E-06  0.48114E-23  0.58353E-24
    2800      559.8000  0.10000E+01  0.25929E-25  0.45522E-24  0.11699E-23  0.57428E-12  0.24839E-17  0.77717E-06  0.42179E-23  0.39100E-24  0.29619E-05  0.61758E-26  0.15330E-23  0.15413E-22  0.97262E-12  0.12019E-11  0.81808E-23  0.52352E-24  0.51768E-06  0.48462E-06  0.44343E-23  0.52859E-24
    2850      569.8000  0.10000E+01  0.23831E-25  0.56390E-24  0.14554E-23  0.10220E-11  0.40996E-17  0.35748E-06  0.28069E-23  0.28544E-24  0.15783E-05  0.99483E-26  0.92024E-24  0.92550E-23  0.12804E-11  0.15823E-11  0.40582E-23  0.25485E-24  0.40084E-06  0.40910E-06  0.64098E-23  0.77015E-24
    2900      579.8000  0.10000E+01  0.25406E-25  0.26177E-24  0.67161E-24  0.43236E-12  0.18678E-17  0.78398E-06  0.41139E-23  0.37940E-24  0.30609E-05  0.13785E-25  0.11634E-23  0.11704E-22  0.89832E-12  0.11101E-11  0.63268E-23  0.41119E-24  0.34519E-06  0.33251E-06  0.56840E-23  0.68896E-24
